System Timestamp,GPS Timestamp,Latitude,Longitude,Heading Angle,filename
03:19.1,22/09/2024 11:03,58.3835882,26.7282724,37.41823,2655
03:20.1,22/09/2024 11:03,58.3836121,26.72831,40.61964,2679
03:21.1,22/09/2024 11:03,58.3836407,26.7283606,43.83872,2703
03:22.1,22/09/2024 11:03,58.3836751,26.7284223,43.07158,2727
03:23.1,22/09/2024 11:03,58.3837134,26.728491,43.51362,2751
03:24.1,22/09/2024 11:03,58.3837532,26.7285653,44.84955,2775
03:25.1,22/09/2024 11:03,58.3837942,26.7286401,43.39826,2799
03:26.1,22/09/2024 11:03,58.3838356,26.7287147,43.64104,2823
03:27.1,22/09/2024 11:03,58.3838772,26.7287898,43.37064,2847
03:28.1,22/09/2024 11:03,58.3839197,26.7288637,42.10893,2871
03:29.1,22/09/2024 11:03,58.3839624,26.7289368,41.85642,2895
03:30.1,22/09/2024 11:03,58.3840059,26.7290105,41.63234,2919
03:31.1,22/09/2024 11:03,58.3840474,26.7290855,44.21304,2943
03:32.1,22/09/2024 11:03,58.3840887,26.7291596,43.64628,2967
03:33.1,22/09/2024 11:03,58.3841284,26.7292298,43.1611,2991
03:34.1,22/09/2024 11:03,58.384164,26.7292938,43.58225,3015
03:35.1,22/09/2024 11:03,58.3841961,26.7293499,42.1333,3039
03:36.1,22/09/2024 11:03,58.384224,26.7293978,42.04035,3063
03:37.1,22/09/2024 11:03,58.3842471,26.729442,47.16582,3087
03:38.1,22/09/2024 11:03,58.3842721,26.7294899,44.97195,3111
03:39.1,22/09/2024 11:03,58.3843014,26.7295448,44.57361,3135
03:40.1,22/09/2024 11:03,58.3843366,26.7296067,42.25652,3159
03:41.1,22/09/2024 11:03,58.3843762,26.7296744,41.9925,3183
03:42.1,22/09/2024 11:03,58.384417,26.7297459,43.10045,3207
03:43.1,22/09/2024 11:03,58.3844581,26.7298194,43.24533,3231
03:44.1,22/09/2024 11:03,58.3845002,26.729894,42.92789,3255
03:45.1,22/09/2024 11:03,58.3845421,26.729969,43.53198,3279
03:46.1,22/09/2024 11:03,58.3845817,26.7300424,44.62152,3303
03:47.1,22/09/2024 11:03,58.3846154,26.7301057,44.77019,3327
03:48.1,22/09/2024 11:03,58.3846421,26.7301558,44.90718,3351
03:49.1,22/09/2024 11:03,58.3846663,26.7301969,40.3949,3375
03:50.1,22/09/2024 11:03,58.3846893,26.7302353,41.93017,3399
03:51.1,22/09/2024 11:03,58.3847167,26.7302826,42.47929,3423
03:52.1,22/09/2024 11:03,58.3847492,26.7303401,42.99192,3447
03:53.1,22/09/2024 11:03,58.3847855,26.7304056,43.35866,3471
03:54.1,22/09/2024 11:03,58.3848245,26.7304761,43.59985,3495
03:55.1,22/09/2024 11:03,58.384864,26.7305504,45.11408,3519
03:56.1,22/09/2024 11:03,58.3849038,26.7306262,44.77849,3543
03:57.1,22/09/2024 11:03,58.3849432,26.7307027,46.06278,3567
03:58.1,22/09/2024 11:03,58.3849831,26.7307789,44.6488,3591
03:59.1,22/09/2024 11:03,58.3850238,26.7308542,43.78556,3615
04:00.1,22/09/2024 11:04,58.3850652,26.7309277,42.36505,3639
04:01.1,22/09/2024 11:04,58.3851064,26.7310002,42.71218,3663
04:02.1,22/09/2024 11:04,58.3851474,26.7310726,43.16843,3687
04:03.1,22/09/2024 11:04,58.3851887,26.7311441,42.01417,3711
04:04.1,22/09/2024 11:04,58.3852308,26.7312135,39.79505,3735
04:05.1,22/09/2024 11:04,58.3852733,26.7312822,40.8116,3759
04:06.1,22/09/2024 11:04,58.385313,26.7313542,44.23213,3783
04:07.1,22/09/2024 11:04,58.3853494,26.7314221,43.70943,3807
04:08.1,22/09/2024 11:04,58.3853821,26.731481,43.02064,3831
04:09.1,22/09/2024 11:04,58.3854093,26.7315297,43.38427,3855
04:10.1,22/09/2024 11:04,58.3854324,26.7315709,43.26005,3879
04:11.1,22/09/2024 11:04,58.3854545,26.7316093,40.77036,3903
04:12.1,22/09/2024 11:04,58.385482,26.7316543,40.16976,3927
04:13.1,22/09/2024 11:04,58.3855145,26.7317099,42.28436,3951
04:14.1,22/09/2024 11:04,58.3855497,26.7317763,45.31057,3975
04:15.1,22/09/2024 11:04,58.3855876,26.7318451,43.10709,3999
04:16.1,22/09/2024 11:04,58.385627,26.7319144,42.61091,4023
04:17.1,22/09/2024 11:04,58.3856671,26.7319845,42.97056,4047
04:18.1,22/09/2024 11:04,58.3857069,26.7320556,43.52815,4071
04:19.1,22/09/2024 11:04,58.3857461,26.732127,43.89231,4095
04:20.1,22/09/2024 11:04,58.3857853,26.7321982,44.09,4119
